"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","City","State","PostalCode","MobilePhone","EmployeeType","ServiceType","ServicePurpose","Application","Environment","ManagedBy"
"IT","CN=Monitoring Service Account","True","Monitor","monitor","CN=Arturo Lopez","Monitoring Service Account","user","","","svc-monitor","","Service","Service","Infrastructure Monitoring Service","svc-monitor","Seattle - Engineering","SVC015","Service account for infrastructure monitoring and alerting systems","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Monitoring","SCOM/PRTG","Production","CN=Arturo Lopez"
"IT","CN=Log Collection Service","True","Log","logcollect","CN=Arturo Lopez","Log Collection Service","user","","","svc-logcollect","","Service","Service","Log Collection Service Account","svc-logcollect","Seattle - Engineering","SVC016","Service account for centralized log collection and analysis","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Log Management","Splunk","Production","CN=Arturo Lopez"
"IT","CN=Test SQL Engine Service","True","SQL","sqlenginets","CN=Christine Koch","Test SQL Engine Service","user","","","svc-sqlenginets","","Service","Service","Test SQL Database Engine Service","svc-sqlenginets","Seattle - Engineering","SVC017","Service account for test environment SQL Server Database Engine","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","Database Engine","SQL Server","Testing","CN=Christine Koch"
"IT","CN=Dev Backup Service","True","Backup","backupdev","CN=Arturo Lopez","Dev Backup Service","user","","","svc-backupdev","","Service","Service","Development Backup Service","svc-backupdev","Seattle - Engineering","SVC018","Service account for development environment backup operations","456 Innovation Drive","Seattle","WA","98102","","Service","Backup","Data Protection","Dev Backup","Development","CN=Arturo Lopez"
"IT","CN=Dev Application Service","True","App","appdev","CN=David Zazzo","Dev Application Service","user","","","svc-appdev","","Service","Service","Development Application Service","svc-appdev","Seattle - Engineering","SVC019","Service account for development application testing and deployment","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Development","Dev Apps","Development","CN=David Zazzo"
"IT","CN=File Share Service","True","FileShare","fileshare","CN=Carol Troup","File Share Service","user","","","svc-fileshare","","Service","Service","File Share Service Account","svc-fileshare","Seattle - Engineering","SVC020","Service account for enterprise file sharing and collaboration","456 Innovation Drive","Seattle","WA","98102","","Service","Application","File Services","Windows File Server","Production","CN=Carol Troup"
"IT","CN=Print Spooler Service","True","Print","printspooler","CN=Keith Dishmo","Print Spooler Service","user","","","svc-printspooler","","Service","Service","Print Spooler Service Account","svc-printspooler","Seattle - Engineering","SVC021","Service account for enterprise print server and spooler operations","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Print Services","Windows Print Server","Production","CN=Keith Dishmo"
"IT","CN=Email Archive Service","True","Email","emailarchive","CN=Ben Spain","Email Archive Service","user","","","svc-emailarchive","","Service","Service","Email Archiving Service Account","svc-emailarchive","Seattle - Engineering","SVC022","Service account for email archiving and compliance operations","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Email Archive","Exchange Archive","Production","CN=Ben Spain"
"IT","CN=Antivirus Service Account","True","AV","antivirus","CN=Keith Dishmo","Antivirus Service Account","user","","","svc-antivirus","","Service","Service","Enterprise Antivirus Service","svc-antivirus","Seattle - Engineering","SVC023","Service account for enterprise antivirus management and updates","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Security","McAfee ePO","Production","CN=Keith Dishmo"
"IT","CN=Patch Management Service","True","Patch","patchmgmt","CN=Keith Dishmo","Patch Management Service","user","","","svc-patchmgmt","","Service","Service","Patch Management Service Account","svc-patchmgmt","Seattle - Engineering","SVC024","Service account for enterprise patch management and deployment","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Update Management","WSUS","Production","CN=Keith Dishmo"
"IT","CN=Asset Management Service","True","Asset","assetmgmt","CN=Erika Cheley","Asset Management Service","user","","","svc-assetmgmt","","Service","Service","Asset Management Service Account","svc-assetmgmt","Seattle - Engineering","SVC025","Service account for IT asset tracking and inventory management","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Asset Tracking","SCCM","Production","CN=Erika Cheley"
